halId_s;docType_s;title_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;conferenceTitle_s;fr_keyword_s;labStructAcronym_s
hal-02012443;ART;Incremental Sharpe and other performance ratios;Eric Benhamou,Beatrice Guez;2018;0.stat,1.stat.ot,0.qfin;Journal of Statistical and Econometric Methods;;;LAMSADE,LAMSADE
hal-02074110;COMM;Online learning of acyclic conditional preference networks from noisy data;Fabien Labernia,Bruno Zanuttini,Brice Mayag,Florian Yger,Jamal Atif;2017;0.info,1.info.info-ai,0.info,1.info.info-ds;;ICDM 2017;;LAMSADE,LAMSADE,GREYC
hal-01619969;COMM;Online learning of acyclic conditional preference networks from noisy data;Fabien Labernia,Bruno Zanuttini,Brice Mayag,Florian Yger,Jamal Atif;18/11/2017;0.info,1.info.info-ai;;17th IEEE International Conference on Data Mining (ICDM 2017);;LAMSADE,LAMSADE,GREYC,LAMSADE
hal-02010093;COMM;Training compact deep learning models for video classification using circulant matrices;Alexandre Araujo,Benjamin Negrevergne,Yann Chevaleyre,Jamal Atif;25/08/2018;0.info,0.info,1.info.info-lg,0.info,1.info.info-ne;;Computer Vision – ECCV 2018 Workshops;;LAMSADE,LAMSADE
hal-02074081;ART;Query-based learning of acyclic conditional preference networks from noisy data;Fabien Labernia,Florian Yger,Brice Mayag,Jamal Atif;2018;0.info,1.info.info-ai,0.info,1.info.info-ds;EURO journal on decision processes;;;LAMSADE,LAMSADE
hal-02344009;COMM;On a Simple Hedonic Game with Graph-Restricted Communication;Vittorio Bilò,Laurent Gourvès,Jérôme Monnot;30/09/2019;0.info,1.info.info-gt;;International Symposium on Algorithmic Game Theory SAGT 2019;;LAMSADE
hal-02344051;COMM;Extension and its price for the connected vertex cover problem;Mehdi Khosravian Ghadikolaei,Nikolaos Melissinos,Jérôme Monnot,Aris Pagourtzis;23/07/2019;0.info,0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ro,0.math;;Combinatorial Algorithms - 30th International Workshop, IWOCA 2019, Proceedings;;LAMSADE
halshs-02353933;COMM;L'expulsion des habitants du bois Lejuc peut-elle être une erreur ?;Juliette Rouchier;16/10/2018;0.shs,1.shs.envir,0.shs,1.shs.gestion;;RIODD;;LAMSADE
hal-01443362;COUV;Rural Road Maintenance in Madagascar: the GENIS project;Alexis Tsoukiàs,Herimandimbiniaina Ralijaona;2015;0.info,1.info.info-ro,0.spi,1.spi.gciv,2.spi.gciv.it;;;;LAMSADE
hal-02004781;ART;Recognizing Art Style Automatically with deep learning;Adrian Lecoutre,Benjamin Negrevergne,Florian Yger;2017;0.info,1.info.info-lg;Proceedings of Machine Learning Research;;;LAMSADE,LAMSADE
